id,title,country,body,leaders,banner,code,color,member,tw_link,fb_link,li_link,web_link,lat,lon
15,Colorado,US,"The Colorado Travel Massive is a regular meet-up alternating between Boulder and Denver that brings together travel brands, travel startups, adventure and ski travel companies, bloggers/journalists and anyone involved in the travel industry. Drinks are usually sponsored if you get there early enough.",31,Colorado.jpg,COL,#D9D87C,80,,,,http://www.meetup.com/Colorado-Travel-Massive/,39,-105.5
16,Dallas,US,"The travel scene in the Dallas/Fort Worth area is more vibrant than ever. Dallas/Fort Worth has been the home to some of the most noted brands in travel for quite some time. Dallas' Travel Massive chapter gives people in all aspects of travel, from startups to well established companies, the opportunity to connect.",32,Dallas.jpg,DAL,#62117D,81,,,,http://www.meetup.com/Dallas-Fort-Worth-Travel-Massive/,32.7758,-96.7967
17,Dublin,IE,"Since it's launch in October 2013, the Dublin Travel Massive is a regular for anybody in the online travel industry in the Irish capital...and there's a lot of them. Dublin is home to some of online travel's most innovative companies, while many of world's heavy hitters who have their European headquarters here - think Airbnb, Hostelworld and Facebook (the most shared type of content on Facebook is travel!).",33|34|35,Dublin.jpg,DUB,#3A61AD,82|83|84,,,,http://www.dublintravelmassive.com/,53.3478,-6.2597
18,Hong Kong,HK,Hong Kong combines some of the best tourism infrastructure in the world with a strong entrepreneurial culture to make this gateway to China an excellent place to establish and grow travel ventures. Follow us at @hktravelmassive,36|37|38,Hong Kong.jpg,HKG,#4E71D2,85|86|87|88|89|90,,,,http://www.meetup.com/HKTravelMassive/,22.267,114.188
19,Houston,US,"The style-savvy residents of the country's fourth-largest city know that there's no place quite like Houston. With more than 2.2 million residents, the city attracts visitors from all over the world and transplants with a wonderful mix of world-class arts, booming business, pro sports and award-winning cuisine",39,Houston.jpg,HOU,#D6C97B,91|92,,https://www.facebook.com/houstontravelmassive,,,29.7628,-95.3831
20,Kiev,UA,"Kiev is the capital and the largest city in Ukraine. The city is one of the important industrial, scientific and educational centers in Eastern Europe. Travel Massive meeting will be informal during which everyone will have a great opportunity to meet and communicate with start-ups, established travel companies, press and social media and everyone who is interested in travel business.",40,Kiev.jpg,KIEV,#4551EC,93|94,,,,,50.45,30.5233
21,London,UK,"Visiting a new venue in the UK capital every month, London Travel Massive is a regular meetup of startups, journos, bloggers, PRs, established travel companies and the curious. No agenda, just quality and simple networking.",41|42|43,London.jpg,LON,#D4FF66,95|96,,,,http://www.meetup.com/TravelMassive/,51.5072,0.1275
22,Los Angeles,US,Travel Massive LA is a group of like minded travel professionals who seek opportunities to grow their community through events and networking. We desire to make our events inclusive of all levels of the travel industry. From the Travel Executive and Tourism Board all the way to the consumer to build and maintain long lasting relationships.,44|45|56,Los Angeles.jpg,LA,#D903BB,97|98|99|100,,https://www.facebook.com/TravelMassiveLA,,,34.05,-118.25
23,Manchester,UK,"One of the UK's fastest growing cities, Manchester is a vibrant destination with a major international airport, excellent transport links and two world-renowned football clubs. The Manchester Travel Massive aims to bring together travel bloggers, writers, brands and startups based in the north of the UK.",47|48|49|50,Manchester.jpg,MAN,#1F9816,101|102|103,,https://www.facebook.com/groups/213614432170641/,,,53.4667,-2.2333
24,Manila,PH,"The vibrant city of Manila kickstarts the Philippines' first Travel Massive. The plan is to place travel junkies, weekenders, backpackers, travel companies bloggers- everyone who is passionate about travel- in one venue! We aim to expand Travel Massive in the Philippines, one island at a time.",51,Manila.jpg,MNL,#BED784,104|105|106|107,,,,,14.5833,120.9667
25,Maui,US,The readers of Conde Naste magazine have voted Maui as the best island in the world an unprecedented 19 times. Join local travel industry professionals as well as visiting writers and bloggers as we meet and talk travel in the middle of the Pacific.,52,Maui.jpg,MAUI,#3CA8E8,108|109|110|111,,,,,20.8,-156.3333
26,Melbourne,AU,"Melbourne has a buzzing travel scene and the Melbourne Travel Massive draws a cool crowd of startups, bloggers, and fly-ins from big travel brands down-under.",53,Melbourne.jpg,MEL,#4CD3B3,112|113|114|115|116|117|118|119|120,,,,http://www.meetup.com/Melbourne-Travel-Massive/,-37.8136,144.9631
27,Milan,IT,"Known as the Fashion Capital, Milan breath tradition and innovation. Chaotic and frenetic, seeking an equilibrium between Italian culture and a strong international desire. Home of international businesses and dynamic startups. A place to discover with locals after business hours, wandering around, bar by bar, enjoying all its contradictions.",54|55|56|57|58,Milan.jpg,MIL,#A8DBC9,121|122|123|124|125,,https://www.facebook.com/groups/1419062911701086/,,,45.4667,9.1833
28,Montreal,CA,"Named the ""Europe of North America‰Û¡ÌÝåÁÌÎÌÌ´ÌÌÎÌ_ÌÎåÌÎå«Ì´å Montreal attracts millions of tourists each year, especially during Summer for the Just for Laughs and International Jazz Festivals. ‰Û¡ÌÝåÁÌÎÌÌ´ÌÌÎÌ_ÌÎåÌÎÌ_Ì´åLa belle province"" is also home to a growing collection of travel innovators and startups.",59,Montreal.jpg,MTL,#6D8F6A,126|127|128|129|130,,https://www.facebook.com/groups/501710583269782/,,,45.5,-73.5667
29,Moscow,RU,"Moscow, the business and cultural center of Russia, is a huge megapolis with a high pace of life and a big amount of events going on. The city has an uprising and growing travel community of travel bureaus, services and bloggers.",60,Moscow.jpg,MOS,#618380,131|132|133|134,,https://www.facebook.com/groups/travel.startups.russia/,,,55.75,37.6167
30,Munich,DE,"Munich is the capital and largest city of Bavaria, Germany. Quiet and pictersque, Munich is famous for numerous tourist attractions, rich history, international sports events, exhibitions, conferences and festivals.",61|62|63,Munich.jpg,MUN,#8BC24B,135|136,,,,,48.1333,11.5667
31,New York City,US,"Meeting once every month in Manhattan, the New York Travel Massive brings together startups, established travel companies, travel media, journalists, bloggers, PRs and the travel industry community to meet, network, and talk travel.",64,New York City.jpg,NYC,#B878C3,137|138|139,,,,http://www.meetup.com/New-York-Travel-Massive/,40.7127,-74.0059
32,Oslo,NO,"Oslo will see its first ever Travel Massive in the autumn of 2014, and you are invited! Oslo is the perfect hub for the first meet-up in Norway with convenient connections to rest of the country (and world!) to gather travel industry professionals, media and bloggers together for an exciting evening.",65,Oslo.jpg,OSLO,#C7CA28,104|105|106|107,,,,,59.95,10.75
33,Ottawa,US,"Ottawa is the capital of Canada and along with Calgary has the highest occupancy rates in Canada. The city attracts people from a range of areas including personal travel, sports events and meetings and conventions. As such the travel industry here is diverse. The Travel Massive is an opportunity for people working in travel sector in Ottawa to meet-up and network on a regular basis. Meetings take place on the second Thursday of each month.",66|67|68,Ottawa.jpg,OTT,#386C8C,108|109|110|111,,https://www.facebook.com/ogtravelmassive,,,45.4214,-75.6919
34,Paris,FR,"Paris boasts some of world's best tourist attractions, a flurry of creative startups, big travel brands, bloggers in every language, and a continuous flow of travel industry folks who just happen to be around. Innovation, startup pitches, demos and tech.",69,Paris.jpg,PAR,#6EDE16,112|113|114|115|116|117|118|119|120,,,,,48.8567,2.3508
35,Philadelphia,US,"As the birthplace of America, Philadelphia is a city that draws tourists from around the globe to celebrate the founding of a nation. Philadelphia travel massive is a group that brings together travel professionals and brands to talk about topics and trends within the industry.",70,Philadephia.jpg,PHI,#F92CC6,121|122|123|124|125,https://twitter.com/TravelMassPHL,https://www.facebook.com/groups/630864757001641/,,,39.95,-75.1667
36,Portland,US,"Located in the Pacific Northwest of the United States, Portland is a vibrant city known for its bohemian culture, innumerable breweries, unparalleled organic cuisine, and environmental consciousness. The mix of its serene natural beauty and colorful city life continues to draw in a diverse group of artists, writers, and travelers. Portland Travel Massive aims to gather many different faces of the travel industry, providing a valuable platform for human connection.",71|72|73|74,Portland.jpg,POR,#77FEFC,126|127|128|129|130,,https://www.facebook.com/groups/548906991890315/,,,45.52,-122.6819
37,Prague,CZ,"The origins of ‰Û¡ÌÝåÁÌÎÌÌ´ÌÌÎÌ_ÌÎåÌÎÌ_Ì´ågolden‰Û¡ÌÝåÁÌÎÌÌ´ÌÌÎÌ_ÌÎåÌÎÌ_Ì´å Prague date back to the 9th century and by many it is considered one of the most beautiful and charming cities in the world. The most varied spiritual and cultural currents had merged over the centuries giving birth to singular mixture of cultural heritage that transcends through music, art and architectural styles. The bohemian allure and romantic fairytale features of Prague are neatly contrasted by vibrating and flashy art galleries, dynamically developing old neighbourhoods with contemporary bars and great night-life scene. Travel Massive disembarked in this great city to unite professionals from the local travel industry during its informal and relaxed networking events.",75,Prague.jpg,PRA,#1B3D65,131|132|133|134,https://twitter.com/TravelMassiveCZ,https://www.facebook.com/groups/641649862560444/,,,50.0833,14.4167
38,Rio de Janeiro,BR,"Located in the Southeast of Brazil, Rio de Janeiro is a vibrant city known for its famous beaches, exuberant nature, party atmosphere and friendly people. All these aspects have made it one of the most popular touristic spots in the world and continues to draw in a diverse group of travelers, writers, journalists, tour companies and many other people involved in the travel industry. Rio de Janeiro Travel Massive aims to bring all these people together in an informal setting to network, start interesting conversations and make new connections.",76,Rio de Janeiro.jpg,RIO,#69EC66,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25,,https://www.facebook.com/groups/607681542663315/,,,-22.9083,-43.1964
39,Rome,IT,"Rome, the eternal city. The soul of the western culture. Walking in the street your fantasy can fly form the ancient romans to the Renaissance. All the biggest artists of the history had left some treasure in that city. Traditions are the most interesting aspects of Rome. Italians are all very different and in the capital you can have a touch of all flavours. In the last years a lot of popular areas were been renovated now they are bohemian district or artists neighbourhoods",77,Rome.jpg,ROME,#8C46B6,26|27|28|29|30|31|32|33,,,,,41.9,12.5
40,Saigon,VN,"Vietnam is one of the worlds fastest growing travel industries and Saigon is it's commercial and digital hub. Travel Massive Saigon is for burgeoning and international online travel companies, hotels and airlines to meet in an informal setting, network and share a drink or two.",78|79|80,Saigon.jpg,SGN,#DA0F6C,34|35|36|37|38|39|40|41,,https://www.facebook.com/travelmassivesaigon,,,10.75,106.6667
41,Saint Petersburg,RU,"Saint Petersburg is a major tourist attraction in Russia, the second biggest city and cultural capital of the country. Tourism is developing rapidly here due to a rich historical heritage and proximity to European Union It is home to some travel startups and bloggers.",81|82|83,Saint Petersburg.jpg,STP,#6D36C3,42|43,,https://www.facebook.com/groups/St.PeterburgTravelMassive/,,,59.95,30.3
42,Salt Lake City,US,"Salt Lake City is a mecca for outdoors lovers with vibrant climbing, hiking, horseback riding, and mountain biking communities in the summer and the best snow on Earth in the wither. The Salt Lake City travel massive was founded with the goal of connecting the numerous tour operators, destination marketers, and travel product vendors in the greater Salt Lake City area.",84|85|86|87,Salt Lake City.jpg,SLC,#2EF6B5,44|45|46,,,,,40.75,-111.8833
43,San Diego,US,"San Diego is now part of the Travel Massive family! Travel bloggers, press, social media aficionados, adventure and outdoor travel companies or anyone involved in the travel industry are invited to join. We'll have monthly meetings in a beach and brew setting conducive for starting interesting conversations and new connections. We're here to build a strong travel community in the heart of San Diego.",88|89|90,San Diego.jpg,SD,#C1EAE4,47|48|49|50|51|52,,,,http://www.meetup.com/TravelMassiveSD/,32.715,-117.1625
44,San Francisco,US,"Right in the heart of the tech-world, the San Francisco Travel Massive draw a huge startup and travel tech crowd as well as business advisors from established travel brands.",91|92,San Francisco.jpg,SF,#1616DD,53|54|55|56|57,,https://www.facebook.com/groups/579601082050791/,,,37.7833,-122.4167
45,Santiago,CL,"Located in Chile's central valley, Santiago is the economical and cultural centre of the country. The city's unique geographical location offers stunning views on the Andes mountain range and during the last years a vibrant start-up scene has been developed in the Chilecon Valley. Just a few hours from the city to the mountains or to the pacific ocean make skiing and surfing possible in the same season. Travel Massive Chile brings together start-ups, travel professionals and brands to talk about topics in the industry and to learn from each other.",93|94,Santiago.jpg,SANT,#CA7CAE,58|59|60,,https://www.facebook.com/groups/1450226528577242/,,,-33.45,-70.6667
46,Sao Paulo,BR,"SÌÎÌ_ÌÎ_ÌÎå«Ì´å£o Paulo is South America's largest city, and Brazil's business, cultural and gastronomic center. Because of this, we have some of the country's most talented artists, business people, chefs, and of course, travel professionals. The travel industry here attends to all Brazilians, not unlike other industries in the country, being the center of all the action.",95|96,Sao paulo.jpg,SAO,#91CD79,61|62|63,,https://www.facebook.com/groups/607681542663315/,,,-23.55,-46.6333
47,Seattle,US,"Travel Massive comes to Seattle, home of the grand-daddy of all travel innovation. Starting with quarterly events, Travel Massive Seattle will be a vibrant community for start-ups, established travel companies and bloggers who are passionate about the travel industry.",97|98,Seattle.jpg,SEA,#0A7F03,64|65|66,,,,http://www.meetup.com/Seattle-Travel-Massive/,47.6097,-122.3331
48,Stockholm,SE,"Modern and eco-friendly with an exploding start-up scene, Stockholm has creatively merged its residents' passion for responsible outdoor living and archipelago island hopping with cutting edge art, new Nordic cuisine, and innovative Swedish design making it one of the most dynamic travel destinations on the continent.",99|100,Stockholm.jpg,STO,#4D5383,67|68|69|70|71,,https://www.facebook.com/StockholmTravelMassive,,,59.3294,18.0686
49,Switzerland,CH,"Travel Massive Switzerland brings together travel companies, startups, journalists, bloggers, travel media, PRs, brands, volunteers... and all those with a passion for travel.ÌÎÌ_Ì´åÇÌÎÌ__Switzerland is a land of many opportunities and positive differences,ÌÎÌ_Ì´åÇÌÎÌ__and our aim is to cross language and culture barriers to bring up the best of its world: that is why our quarterly event will be itinerant. From Geneva to ZÌÎÌ_ÌÎ__rich, and why not Bern, Lugano or the snowy top of a mountain?",101,Switzerland.jpg,SWI,#89AA07,72|73|74|75,,https://www.facebook.com/groups/travelmassiveswitzerland/,,,46.8333,8.3333
50,Sydney,AU,"Home to a few of the world's largest online travel companies and Travel Massive's first stomping ground, Sydney has a thriving travel blogging and startup crowd that loves sun, surf, and travel.",102,Sydney.jpg,SYD,#0A7F03,76|77|78|79,,,,http://www.meetup.com/Sydney-Travel-Massive/,-33.86,151.2094
51,Taipei,TW,"The very first Taipei Travel Massive will be happening in August, bring together startups, travel tech groups and advisors from established travel brands.",103,Taipei.jpg,TAI,#4D5383,80,,,,,25.0333,121.6333
52,Tel Aviv,IL,Tel Aviv is Israel's second most populous city and one of the world's leading and important innovation hubs. With so many travel tech startups and tourism practitioners working in the city it's only natural for Travel Massive to have meetups here.,104|105,Tel Aviv.jpg,TA,#89AA07,81,,https://www.facebook.com/groups/travelmassivetlv/,,,32.0833,34.8
53,Toronto,CA,"Started in 2010, Toronto was the second Travel Massive city to launch after the inaugural meet-up in Sydney, Australia. Toronto regularly attracts upwards of 80 people monthly in the online travel industry with a focus on travel bloggers and vloggers, travel PR and marketing reps, DMOs and international tourism boards, as well as global sponsors like Intrepid Travel, Flight Centre, G Adventures, Expedia, and Google.",106|107,Toronto.jpg,TOR,#0A7F03,82|83|84,,https://www.facebook.com/TorontoTravelMassive,,,43.7,-79.4
54,Vancouver,CA,"Vancouver is one of the most beautiful cities in the World and boasts a variety of restaurants and pubs that are excellent for our monthly meet-ups. Travel Massive Vancouver has an engaged and experienced organizing team and they have partnered with one of Vancouver's premiere hospitality companies. Each monthly meet-up is held at one of twelve (and growing) trendy pubs located around the Vancouver Downtown area. The Vancouver meet-up attracts a variety of travel industry professionals, bloggers, technology people, and those interested in travel. If you are visiting Vancouver, don't hesitate to check out our upcoming events and come visit!",108|109,Vancouver.jpg,VC,#4D5383,85|86|87|88|89|90,https://twitter.com/TravelMassiveBC,https://www.facebook.com/TravelMassiveBC,,,49.25,-123.1
55,Viana do Castelo,PT,"Viana do Castelo has one of the most emblematic turistic symbols of Portugal. The golden filigrana which is appreciated by personalities like Sharon Stone, who has shown recently our famous heart. Culinary and creative tourism are its most offer, besides sun and sea. This chapter is focusing his primarily activity on the unexplored territory behind the green mountains where still remains the secrets of the oldest country in Europe.",110|111,Viana do Castelo.jpg,VIA,#89AA07,91|92,,,,,41.7,-8.8333
56,Warsaw,PL,"Warsaw is one of the most influential capitals of Eastern Europe. Economic, political, and cultural centre of Poland! City full of contrast and marvels, a place where a new chapter of Travel Massive is about to be born. 

",112|113|114|115,Warsaw.jpg,WAR,#0A7F03,93|94,,,,,52.2333,21.0167
57,Washington D.C.,US,"Tourist crowds on the National Mall aren't the only ones putting Washington on the travel map. Travel Massive D.C. connects the area's media brands, travel

associations, hospitality reps, publishers, writers, bloggers, PR reps and more.",116|117|118|119|120,Washington DC.jpg,WAS,#4D5383,95|96,,https://www.facebook.com/groups/travelmassiveDC/,,,38.8951,-77.0367
58,Budapest,HU,"Budapest is a great city that perfectly incorporates old and modern. The city has become widely popular as a travel destination in the last few years, and therefore, the tourism industry has also recently taken a big step forward.",101,Budapest.jpg,BUD,#4D5383,44|45|46,,https://www.facebook.com/groups/TravelMassiveBudapest/,,,47.4925,19.0514
59,Newcastle,UK,"Set on the banks of the River Tyne, Newcastle is home to some of the most friendly people in the UK, the Geordies. With world class culture, architecture, nightlife and heritage, this is the perfect place for travellers, writers, brands and startups to meet. Join us for creativity, fun and brilliant banter in North East England. ",102,Newcastle.jpg,NEW,#1616DD,47|48|49|50|51|52,,,,,54.9667,-1.6
60,Miami,US,"In 2013, Florida attracted more than 95 million visitors from 189 different countries and continues to solidify its position as a global tourism hub. TravelMassive Miami/South Florida will bring together the travel and hospitality professionals in the region to connect and learn about each otherÕs industries, while enjoying the vibrant nightlife this city is known for. ",103,Miami.jpg,MIA,#CA7CAE,53|54|55|56|57,,,,,25.7877,-80.2241
61,Calgary,CA,"Calgary is Canada's fastest growing city, with over 20,000 new inhabitants arriving each year. One of Canada's top tourist destinations, it's home to glittering sky rises, exploding downtown food and cultural scenes, and the Calgary Stampede, the world's largest rodeo. it's also the gateway to the incredible Rocky Mountains and many of small towns which reflect Alberta's diverse cultural roots. Calgary Travel Massive seeks to organize local meetups for Calgary-based travel & tourism companies, bloggers, startups and media to connect face to face. (This gorgeous photo is kindly shared by Neil Zeller)",104|105,Calgary.jpg,CAL,#91CD79,58|59|60,,https://www.facebook.com/CalgaryTravelMassive,,,51.05,-114.0667
62,Baltimore,US,"An hour from Washington D.C. and 90 minutes from Philadelphia, B-more as Baltimore is affectionately called by locals, is one of America's most populous cities. Culturally rich, Baltimore has no shortage of ethnic restaurants, historic attractions, and lively entertainment to attract visitors and satiate locals. Several pop culture movies and television shows such as Hairspray, The Wire, and Veeps were either based off of or filmed in Charm City. Baltimore Travel Massive aims to bring together passionate travel professionals in all areas of the industry to include: writers, travel startups, hotel execs, restaurant owners, tour operators, bloggers, PR and CVB reps, travel brands, local chefs, travel associations, and all other individuals with a stake in the travel and hospitality field.",106|107,,BLT,#0A7F03,61|62|63,,,,,39.2833,-76.6167
63,Bali,ID,"Described by many as one of the world's most magical destinations, Ubud, despite the advance of yoga centers, spas, villas, and luxury hotels, remains relatively unchanged. The town has taken a stand against the encroachment of tourism and has defended its cultural practices and artistic endeavors against the influx of outsiders.",108|109,Bali.jpg,BAL,#4D5383,64|65|66,,https://www.facebook.com/pages/Travel-Massive-Bali/1499128580361964,,,-8.65,115.2167
64,Amsterdam,NL,"The vibrant and tolerant city of Amsterdam, capital of the Netherlands, is quite simply one of the greatest small cities in the world. With all the advantages of a big city: culture, nightlife, international restaurants, good transport Ð you can cycle across Amsterdam in under 20 minutes, or travel around by boat using over 100KM of scenic canals. Home to over 174 different nationalities, Amsterdam is a true melting pot of cultures. Travel Massive is AmsterdamÕs local community of travel industry start-ups and professionals who are passionate about the travel industry and looking to connect with one another. We look forward to meeting you.",110|111,,AMS,#89AA07,67|68|69|70|71,,,,,52.3667,4.9
